Name,Abstraction,Status,Description,Alternate Terms,Likelihood Of Attack,Typical Severity,Related Attack Patterns,Execution Flow,Prerequisites,Skills Required,Resources Required,Indicators,Consequences,Mitigations,Example Instances,Related Weaknesses,Taxonomy Mappings,Notes
Rooting SIM Cards,Detailed,Draft,"SIM cards are the de facto trust anchor of mobile devices worldwide. The cards protect the mobile identity of subscribers, associate devices with phone numbers, and increasingly store payment credentials, for example in NFC-enabled phones with mobile wallets. This attack leverages over-the-air (OTA) updates deployed via cryptographically-secured SMS messages to deliver executable code to the SIM. By cracking the DES key, an attacker can send properly signed binary SMS messages to a device, which are treated as Java applets and are executed on the SIM. These applets are allowed to send SMS, change voicemail numbers, and query the phone location, among many other predefined functions. These capabilities alone provide plenty of potential for abuse.",,,High,::NATURE:ChildOf:CAPEC ID:186::,,::A SIM card that relies on the DES cipher.::,"::SKILL:This is a sophisticated attack, but detailed techniques are published in open literature.:LEVEL:Medium::",,,::SCOPE:Confidentiality:SCOPE:Integrity:TECHNICAL IMPACT:Execute Unauthorized Commands::,::Upgrade the SIM card to use the state-of-the-art AES or the somewhat outdated 3DES algorithm for OTA.::,,::327::,,
Evil Twin Wi-Fi Attack,Detailed,Draft,"Adversaries install Wi-Fi equipment that acts as a legitimate Wi-Fi network access point. When a device connects to this access point, Wi-Fi data traffic is intercepted, captured, and analyzed. This also allows the adversary to use adversary-in-the-middle (CAPEC-94) for all communications.",,,Low,::NATURE:ChildOf:CAPEC ID:616::,,::None::,,,,::SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:Intercept and control Wi-Fi data communications to/from mobile device.::,"::Commercial defensive technology that monitors for rogue Wi-Fi access points, adversary-in-the-middle attacks, and anomalous activity with the mobile device baseband radios.::",,::300::,,
Cellular Rogue Base Station,Detailed,Draft,"In this attack scenario, the attacker imitates a cellular base station with their own rogue base station equipment. Since cellular devices connect to whatever station has the strongest signal, the attacker can easily convince a targeted cellular device (e.g. the retransmission device) to talk to the rogue base station.",,,Low,::NATURE:ChildOf:CAPEC ID:616::,,::None::,::SKILL:This technique has been demonstrated by amateur hackers and commercial tools and open source projects are available to automate the attack.:LEVEL:Low::,,,::SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:Intercept and control cellular data communications to/from mobile device.::,::Passively monitor cellular network connection for real-time threat detection and logging for manual review.::,,,,
Cellular Broadcast Message Request,Detailed,Draft,"In this attack scenario, the attacker uses knowledge of the target’s mobile phone number (i.e., the number associated with the SIM used in the retransmission device) to cause the cellular network to send broadcast messages to alert the mobile device. Since the network knows which cell tower the target’s mobile device is attached to, the broadcast messages are only sent in the Location Area Code (LAC) where the target is currently located. By triggering the cellular broadcast message and then listening for the presence or absence of that message, an attacker could verify that the target is in (or not in) a given location.",,,Low,::NATURE:ChildOf:CAPEC ID:292::,,::The attacker must have knowledge of the target’s mobile phone number.::,::SKILL:Open source and commercial tools are available for this attack.:LEVEL:Low::,,,::SCOPE:Other:TECHNICAL IMPACT:Other:NOTE:An attacker could verify that the target is in (or not in) a given location.::,::Frequent changing of mobile number.::,,::201::,,
Signal Strength Tracking,Detailed,Draft,"In this attack scenario, the attacker passively monitors the signal strength of the target’s cellular RF signal or WiFi RF signal and uses the strength of the signal (with directional antennas and/or from multiple listening points at once) to identify the source location of the signal. Obtaining the signal of the target can be accomplished through multiple techniques such as through Cellular Broadcast Message Request or through the use of IMSI Tracking or WiFi MAC Address Tracking.",,,Low,::NATURE:ChildOf:CAPEC ID:292::,,,::SKILL:Commercial tools are available.:LEVEL:Low::,,,,,,::201::,,
Analysis of Packet Timing and Sizes,Detailed,Draft,"An attacker may intercept and log encrypted transmissions for the purpose of analyzing metadata such as packet timing and sizes. Although the actual data may be encrypted, this metadata may reveal valuable information to an attacker. Note that this attack is applicable to VOIP data as well as application data, especially for interactive apps that require precise timing and low-latency (e.g. thin-clients).",,,Low,::NATURE:ChildOf:CAPEC ID:189::,,"::Use of untrusted communication paths enables an attacker to intercept and log communications, including metadata such as packet timing and sizes.::",::SKILL:These attacks generally require sophisticated machine learning techniques and require traffic capture as a prerequisite.:LEVEL:High::,,,::SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:Derive sensitive information about encrypted data.::,::Distort packet sizes and timing at VPN layer by adding padding to normalize packet sizes and timing delays to reduce information leakage via timing.::,,::201::,,
Electromagnetic Side-Channel Attack,Detailed,Draft,"In this attack scenario, the attacker passively monitors electromagnetic emanations that are produced by the targeted electronic device as an unintentional side-effect of its processing. From these emanations, the attacker derives information about the data that is being processed (e.g. the attacker can recover cryptographic keys by monitoring emanations associated with cryptographic processing). This style of attack requires proximal access to the device, however attacks have been demonstrated at public conferences that work at distances of up to 10-15 feet. There have not been any significant studies to determine the maximum practical distance for such attacks. Since the attack is passive, it is nearly impossible to detect and the targeted device will continue to operate as normal after a successful attack.",,,Low,::NATURE:ChildOf:CAPEC ID:189::,,::Proximal access to the device.::,"::SKILL:Sophisticated attack, but detailed techniques published in the open literature.:LEVEL:Medium::",,,"::SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:Derive sensitive information about encrypted data. For mobile devices, depending on which keys are compromised, the attacker may be able to decrypt VOIP communications, impersonate the targeted caller, or access the enterprise VPN server.::",::Utilize side-channel resistant implementations of all crypto algorithms.::Strong physical security of all devices that contain secret key information. (even when devices are not in use)::,,::201::,,
Compromising Emanations Attack,Detailed,Draft,"Compromising Emanations (CE) are defined as unintentional signals which an attacker may intercept and analyze to disclose the information processed by the targeted equipment. Commercial mobile devices and retransmission devices have displays, buttons, microchips, and radios that emit mechanical emissions in the form of sound or vibrations. Capturing these emissions can help an adversary understand what the device is doing.",,,Low,::NATURE:ChildOf:CAPEC ID:189::,,::Proximal access to the device.::,::SKILL:Sophisticated attack.:LEVEL:High::,,,::SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:Capture vibrations/emissions from the handset or retransmission device display screen to recreat display information from a distance.::,::None are known.::,,::201::,,
Mobile Device Fault Injection,Standard,Draft,"Fault injection attacks against mobile devices use disruptive signals or events (e.g. electromagnetic pulses, laser pulses, clock glitches, etc.) to cause faulty behavior. When performed in a controlled manner on devices performing cryptographic operations, this faulty behavior can be exploited to derive secret key information. Although this attack usually requires physical control of the mobile device, it is non-destructive, and the device can be used after the attack without any indication that secret keys were compromised.",,,,::NATURE:ChildOf:CAPEC ID:624::,,,"::SKILL:Adversaries require non-trivial technical skills to create and implement fault injection attacks on mobile devices. Although this style of attack has become easier (commercial equipment and training classes are available to perform these attacks), they usual require significant setup and experimentation time during which physical access to the device is required. This prerequisite makes the attack challenging to perform (assuming that physical security countermeasures and monitoring are in place).:LEVEL:High::",,,::SCOPE:Confidentiality:SCOPE:Access Control:TECHNICAL IMPACT:Read Data:NOTE:Extract long-term secret keys (e.g. keys used for VPN or WiFi authentication and encryption) to enable decryption of intercepted VOIP traffic.::,::Strong physical security of all devices that contain secret key information. (even when devices are not in use)::Frequent changes to secret keys and certificates.::,,::1247::1248::1256::1319::1332::1334::1338::1351::,,
Smudge Attack,Detailed,Draft,Attacks that reveal the password/passcode pattern on a touchscreen device by detecting oil smudges left behind by the user’s fingers.,,,,::NATURE:ChildOf:CAPEC ID:395::,,::The attacker must have physical access to the device.::,::SKILL:The attacker must know how to make use of these smudges.:LEVEL:Medium::,,,::SCOPE:Access Control:TECHNICAL IMPACT:Bypass Protection Mechanism::,::Strong physical security of the device.::,,,,
Counterfeit GPS Signals,Standard,Draft,"An adversary attempts to deceive a GPS receiver by broadcasting counterfeit GPS signals, structured to resemble a set of normal GPS signals. These spoofed signals may be structured in such a way as to cause the receiver to estimate its position to be somewhere other than where it actually is, or to be located where it is but at a different time, as determined by the adversary.",,Low,High,::NATURE:ChildOf:CAPEC ID:148::,,::The target must be relying on valid GPS signal to perform critical operations.::,::SKILL:The ability to spoof GPS signals is not trival.:LEVEL:High::,::Ability to create spoofed GPS signals.::,,::SCOPE:Integrity:TECHNICAL IMPACT:Modify Data::,,,,,
Carry-Off GPS Attack,Detailed,Draft,"A common form of a GPS spoofing attack, commonly termed a carry-off attack begins with an adversary broadcasting signals synchronized with the genuine signals observed by the target receiver. The power of the counterfeit signals is then gradually increased and drawn away from the genuine signals. Over time, the adversary can carry the target away from their intended destination and toward a location chosen by the adversary.",,Low,High,::NATURE:ChildOf:CAPEC ID:627::,,::The target must be relying on valid GPS signal to perform critical operations.::,::SKILL:This attack requires advanced knoweldge in GPS technology.:LEVEL:High::,,,,,"::A proof-of-concept attack was successfully performed in June, 2013, when the luxury yacht White Rose was misdirected with spoofed GPS signals from Monaco to the island of Rhodes by a group of aerospace engineering students from the Cockrell School of Engineering at the University of Texas in Austin. The students were aboard the yacht, allowing their spoofing equipment to gradually overpower the signal strengths of the actual GPS constellation satellites, altering the course of the yacht.::",,,
DEPRECATED: Unauthorized Use of Device Resources,Standard,Deprecated,This attack pattern has been deprecated.,,,,,,,,,,,,,,,
